,Artist,Track,0,1,2,3,4,5
513,Chris Brown,Emerald / Burgundy ,Juvenile,Juicy J,,,,
514,Chris Brown,Red,,,,,,
515,Chris Brown,All I Want ,Tyga,,,,,
516,Chris Brown,Wobble Up ,Nicki Minaj,G-Eazy,,,,
517,Chris Brown,Need A Stack ,Lil Wayne,Joyner Lucas,,,,
518,Chris Brown,Heat ,Gunna,,,,,
519,Chris Brown,No Guidance ,Drake,,,,,
520,Chris Brown,Girl Of My Dreams,,,,,,
521,Chris Brown,Natural Disaster / Aura,,,,,,
522,Chris Brown,Don't Check On Me ,Justin Bieber,Ink,,,,
523,Chris Brown,Sorry Enough,,,,,,
524,Chris Brown,Juice,,,,,,
525,Chris Brown,You Like That,,,,,,
526,Chris Brown,Troubled Waters,,,,,,
527,Chris Brown,Take A Risk,,,,,,
528,Chris Brown,Lurkin' ,Tory Lanez,,,,,
529,Chris Brown,Trust Issues / Act In,,,,,,
530,Chris Brown,Cheetah,,,,,,
531,Chris Brown,Undecided,,,,,,
532,Chris Brown,BP / No Judgement,,,,,,
533,Chris Brown,Side Nigga,,,,,,
534,Chris Brown,Throw It Back,,,,,,
535,Chris Brown,All On Me,,,,,,
536,Chris Brown,Sexy ,Trey Songz,,,,,
537,Chris Brown,Early 2K ,Tank,,,,,
538,Chris Brown,Dear God,,,,,,
539,Chris Brown,Part Of The Plan,,,,,,
540,Chris Brown,Play Catch Up,,,,,,
541,Chip,Champion ,Chris Brown,,,,,
542,Chris Brown,Deuces ,Tyga,Kevin McCall,,,,
543,Chris Brown,Up To You,,,,,,
544,Chris Brown,No BS ,Kevin McCall,,,,,
545,Chris Brown,Look At Me Now ,Lil Wayne,Busta Rhymes,,,,
546,Chris Brown,She Ain't You,,,,,,
547,Chris Brown,Say It,,,,,,
548,Chris Brown,Yeah 3x,,,,,,
549,Chris Brown,Next To You ,Justin Bieber,,,,,
550,Chris Brown,All Back,,,,,,
551,Chris Brown,Wet The Bed ,Ludacris,,,,,
552,Chris Brown,Oh My Love,,,,,,
553,Chris Brown,Should've Kissed You,,,,,,
554,Chris Brown,Beautiful People ,Benny Benassi,,,,,
555,Chris Brown,Bomb ,Wiz Khalifa,,,,,
556,Chris Brown,Love The Girls ,Eva Simons,,,,,
557,Chris Brown,"Paper, Scissors, Rock ",Big Sean,Timbaland,,,,
558,Chris Brown,Beg For It,,,,,,
559,Chris Brown,Turn Up the Music,,,,,,
560,Chris Brown,Bassline,,,,,,
561,Chris Brown,Till I Die ,Big Sean,Wiz Khalifa,,,,
562,Chris Brown,Mirage ,Nas,,,,,
563,Chris Brown,Don't Judge Me,,,,,,
564,Chris Brown,2012,,,,,,
565,Chris Brown,Biggest Fan,,,,,,
566,Chris Brown,Sweet Love,,,,,,
567,Chris Brown,Strip ,Kevin McCall,,,,,
568,Chris Brown,Stuck On Stupid,,,,,,
569,Chris Brown,4 Years Old,,,,,,
570,Chris Brown,Party Hard / Cadillac (Interlude) ,Sevyn,,,,,
571,Chris Brown,Don't Wake Me Up,,,,,,
572,Chris Brown,Trumpet Lights ,Sabrina Antionette,,,,,
573,Chris Brown,Tell Somebody,,,,,,
574,Chris Brown,Free Run,,,,,,
575,Chris Brown,Remember My Name ,Sevyn,,,,,
576,Chris Brown,Wait For You,,,,,,
577,Chris Brown,Touch Me ,Sevyn,,,,,
578,Chris Brown,Oh Yeah ,Snoop Dogg,2 Chainz,,,,
579,Chris Brown,Calypso,,,,,,
580,Chris Brown,Get Down ,B.o.B,,,,,
581,Chris Brown,I Can Transform Ya ,Swizz Beatz,Lil Wayne,,,,
582,Chris Brown,Sing Like Me,,,,,,
583,Chris Brown,Crawl,,,,,,
584,Chris Brown,So Cold,,,,,,
585,Chris Brown,What I Do ,Plies,,,,,
586,Chris Brown,Famous Girl,,,,,,
587,Chris Brown,Take My Time ,Tank,,,,,
588,Chris Brown,I.Y.A.,,,,,,
589,Chris Brown,Pass Out ,Eva Simons,,,,,
590,Chris Brown,Wait ,Trey Songz,The Game,,,,
591,Chris Brown,Lucky Me,,,,,,
592,Chris Brown,Fallin Down,,,,,,
593,Chris Brown,I'll Go,,,,,,
594,Chris Brown,Girlfriend ,Lupe Fiasco,,,,,
595,Chris Brown,Gotta Be Ur Man,,,,,,
596,Chris Brown,For Ur Love,,,,,,
597,Chris Brown,I Need This,,,,,,
598,Chris Brown,I Love U,,,,,,
599,Chris Brown,Brown Skin Girl ,Sean Paul,,,,,
600,Chris Brown,Chase Our Love,,,,,,
601,Chris Brown,Graffiti,,,,,,
602,Chris Brown,I'll Call Ya,,,,,,
603,Chris Brown,Don't Wake Me Up,Panic City,,,,,
604,DaVido,Blow My Mind,Chris Brown,,,,,
605,Jay Rock,Westside ,Chris Brown,,,,,
606,Chris Brown,Forever,,,,,,
607,Chris Brown,Please Don't Judge Me,,,,,,
608,Chris Brown,Crawl,,,,,,
609,T-Pain,Look at Her Go ,Chris Brown,,,,,
610,Lloyd,Luv Me Girl,Chris Brown,Veronica Vega,,,,
611,Plies & DJ Scream,Oh Yeah,Chris Brown,,,,,
612,Chris Brown,I Can Transform Ya ,Swizz Beatz,Lil Wayne,,,,
613,Blaq Tuxedo,Waterbed,Chris Brown,,,,,
614,E-40,1 Question,Jeremih,Rick Ross,Chris Brown,,,
615,CRZY,Wanted ,Chris Brown,,,,,
616,B.Taylor,Gotta Have It All ,Ace Drucci,Ana Baby,Chris Brown,Eli Kim,,
617,Yella Beezy,Restroom Occupied,Chris Brown,,,,,
618,Rockie Fresh,Must Be,Jon Z,Chris Brown,,,,
619,Snoop Dogg,Turn Me On ,Chris Brown,,,,,
620,Kali Ranks,Monsta,Chris Brown,Stephanie Adler,,,,
621,Chris Brown,Lower Body ,DaVido,,,,,
622,Chris Brown,Overtime,,,,,,
623,Chris Brown,Under The Influence,,,,,,
624,Chris Brown,Outy When I Drive/Blamed ,Rich The Kid,Yella Beezy,Sage The Gemini,,,
625,Chris Brown,Nose Dive ,DaniLeigh,,,,,
626,Chris Brown,Flashbacks,,,,,,
627,Chris Brown,Problem,,,,,,
628,Chris Brown,Going At It,,,,,,
629,Chris Brown,Technology,,,,,,
630,Chris Brown,Tell Me How You Feel ,Tory Lanez,,,,,
631,Casanova,Coming Home ,Chris Brown,,,,,
632,Dalia Chih,Gotta Have It All,Anababy,Chris Brown,Frankie Biggz,,,
633,CRZY,Wanted ,Chris Brown,,,,,
634,DJ Carisma,Party Party Party ,Chris Brown,DeJ Loaf,,,,
635,Lost God,Come Way,Chris Brown,Sean Kingston,,,,
636,Diddy - Dirty Money,Yesterday,Chris Brown,,,,,
637,Sherwood Marty,Vibe Is ,Chris Brown,,,,,
638,Tyga,February Love ,Chris Brown,,,,,
639,Tory Lanez,The Take ,Chris Brown,,,,,
640,Yella Beezy,Restroom Occupied,Chris Brown,,,,,
641,Chris Brown,Indigo,,,,,,
642,Chris Brown,Back To Love,,,,,,
643,Chris Brown,Come Together ,H.E.R.,,,,,
644,Chris Brown,Temporary Lover ,Lil Jon,,,,,
645,Chris Brown,Emerald / Burgundy ,Juvenile,Juicy J,,,,
646,Chris Brown,Red,,,,,,
647,Chris Brown,All I Want ,Tyga,,,,,
648,Chris Brown,Wobble Up ,Nicki Minaj,G-Eazy,,,,
649,Chris Brown,Need A Stack ,Lil Wayne,Joyner Lucas,,,,
650,Chris Brown,Heat ,Gunna,,,,,
651,Chris Brown,No Guidance ,Drake,,,,,
652,Chris Brown,Girl Of My Dreams,,,,,,
653,Chris Brown,Natural Disaster / Aura,,,,,,
654,Chris Brown,Don't Check On Me ,Justin Bieber,Ink,,,,
655,Chris Brown,Sorry Enough,,,,,,
656,Chris Brown,Juice,,,,,,
657,Chris Brown,You Like That,,,,,,
658,Chris Brown,Troubled Waters,,,,,,
659,Chris Brown,Take A Risk,,,,,,
660,Chris Brown,Lurkin' ,Tory Lanez,,,,,
661,Chris Brown,Trust Issues / Act In,,,,,,
662,Chris Brown,Cheetah,,,,,,
663,Chris Brown,Undecided,,,,,,
664,Chris Brown,BP / No Judgement,,,,,,
665,Chris Brown,Side Nigga,,,,,,
666,Chris Brown,Throw It Back,,,,,,
667,Chris Brown,All On Me,,,,,,
668,Chris Brown,Sexy ,Trey Songz,,,,,
669,Chris Brown,Early 2K ,Tank,,,,,
670,Chris Brown,Dear God,,,,,,
671,Chris Brown,Part Of The Plan,,,,,,
672,Chris Brown,Play Catch Up,,,,,,
673,Rockie Fresh,Must Be,Chris Brown,,,,,
674,DaniLeigh,Easy,Chris Brown,Justin-Credible,,,,
675,Sherwood Marty,Vibe Is ,Chris Brown,,,,,
676,Berner,Every Night,Chris Brown,Wiz Khalifa,,,,
677,E-40,1 Question,Jeremih,Rick Ross,Chris Brown,,,
678,DaVido,Blow My Mind,Chris Brown,,,,,
679,A1,Ignore Me,Chris Brown,,,,,
680,Blac Youngsta,Shake It ,Ty Dolla $ign,Chris Brown,,,,
681,The Game,Gangstas Make The Girls Go Wild,Chris Brown,,,,,
682,Fabolous,Us vs. The World ,Chris Brown,Teyana Taylor,,,,
683,French Montana,Out Of Your Mind ,Swae Lee,Chris Brown,,,,
684,Summer Walker,Something Real ,London On Da Track,Chris Brown,,,,
685,H.E.R.,Slide (Remix) ,A Boogie Wit da Hoodie,Chris Brown,Pop Smoke,,,
686,GASHI,Safety 2020 ,Chris Brown,Afro B,DJ Snake,,,
687,Candy Corn,Bet You Know ,Chris Brown,,,,,
688,Kai Ca$h,Tank,Chris Brown,K Wales,,,,
689,Joyner Lucas,Finally ,Chris Brown,,,,,
690,Chris Brown,Say You Love Me,Young Thug,,,,,
691,Chris Brown,Go Crazy,Young Thug,,,,,
692,Chris Brown,Trap Back ,Young Thug,Major Nine,,,,
693,Chris Brown,I Got Time ,Young Thug,Shad Da God,,,,
694,Chris Brown,She Bumped Her Head ,Young Thug,Gunna,,,,
695,Chris Brown,Big Slimes ,Young Thug,Gunna,Lil Duke,,,
696,Chris Brown,I Ain't Tryin',Young Thug,,,,,
697,Chris Brown,Animal,Young Thug,,,,,
698,Chris Brown,City Girls,Young Thug,,,,,
699,Chris Brown,Stolen,Young Thug,,,,,
700,Chris Brown,Undrunk ,Too $hort,E-40,,,,
701,Chris Brown,No Such Thing ,Hoodybaby,,,,,
702,Young Thug,Help Me Breathe ,Future,,,,,
703,T-Pain,Wake Up Dead,Chris Brown,,,,,
704,4B,Did You,Chris Brown,,,,,
