,Artist,Track,0,1,2,3,4,5
104,Chris Brown,I Bet ,Tyga,50 Cent,,,,
105,Chris Brown,D.G.I.F.U. ,Tyga,Pusha T,,,,
106,Chris Brown,Better,Tyga,,,,,
107,Chris Brown,Lights Out ,Tyga,Fat Trel,,,,
108,Chris Brown,Real One ,Tyga,Boosie Badazz,,,,
109,Chris Brown,Bitches N Marijuana ,Tyga,ScHoolboy Q,,,,
110,Chris Brown,She Goin' Up,Tyga,,,,,
111,Chris Brown,Wrong In The Right Way,Tyga,,,,,
112,Chris Brown,Bunkin' ,Tyga,Jay 305,T.I.,,,
113,Chris Brown,It's Yo Shit ,Tyga,Wale,,,,
114,Chris Brown,Banjo,Tyga,,,,,
115,Chris Brown,X,,,,,,
116,Chris Brown,Add Me In,,,,,,
117,Chris Brown,Loyal,Lil Wayne,Tyga,,,,
118,Chris Brown,New Flame,Usher,Rick Ross,,,,
119,Chris Brown,Songs On 12 Play,Trey Songz,,,,,
120,Chris Brown,101 ,,,,,,
121,Chris Brown,Drown In It,R. Kelly,,,,,
122,Chris Brown,Came To Do,Akon,,,,,
123,Chris Brown,Stereotype,,,,,,
124,Chris Brown,Time For Love,,,,,,
125,Chris Brown,Lady In A Glass Dress ,,,,,,
126,Chris Brown,Autumn Leaves,Kendrick Lamar,,,,,
127,Chris Brown,Do Better,Brandy,,,,,
128,Chris Brown,See You Around,,,,,,
129,Chris Brown,Don't Be Gone Too Long,,,,,,
130,Chris Brown,Body Shots,,,,,,
131,Chris Brown,Drunk Texting,Jhené Aiko,,,,,
132,Chris Brown,Lost In Ya Love,,,,,,
133,Chris Brown,Love More,Nicki Minaj,,,,,
134,Chris Brown,Don't Think They Know,Aaliyah,,,,,
135,Chris Brown,Fine China,,,,,,
136,Chris Brown,Turn Up the Music,,,,,,
137,Chris Brown,Bassline,,,,,,
138,Chris Brown,Till I Die,Big Sean,Wiz Khalifa,,,,
139,Chris Brown,Mirage,Nas,,,,,
140,Chris Brown,Don't Judge Me,,,,,,
141,Chris Brown,2012,,,,,,
142,Chris Brown,Biggest Fan,,,,,,
143,Chris Brown,Sweet Love,,,,,,
144,Chris Brown,Strip,Kevin McCall,,,,,
145,Chris Brown,Stuck On Stupid,,,,,,
146,Chris Brown,4 Years Old,,,,,,
147,Chris Brown,Party Hard / Cadillac ,Sevyn,,,,,
148,Chris Brown,Don't Wake Me Up,,,,,,
149,Chris Brown,Trumpet Lights,Sabrina Antionette,,,,,
150,Chris Brown,Tell Somebody,,,,,,
151,Chris Brown,Free Run,,,,,,
152,Chris Brown,Remember My Name,Sevyn,,,,,
153,Chris Brown,Wait For You,,,,,,
154,Chris Brown,Touch Me,Sevyn,,,,,
155,Chris Brown,I Can Transform Ya ,Swizz Beatz,Lil Wayne,,,,
156,Chris Brown,Sing Like Me,,,,,,
157,Chris Brown,Crawl,,,,,,
158,Chris Brown,So Cold,,,,,,
159,Chris Brown,What I Do ,Plies,,,,,
160,Chris Brown,Famous Girl,,,,,,
161,Chris Brown,Take My Time ,Tank,,,,,
162,Chris Brown,I.Y.A.,,,,,,
163,Chris Brown,Pass Out ,Eva Simons,,,,,
164,Chris Brown,Wait ,Trey Songz,The Game,,,,
165,Chris Brown,Lucky Me,,,,,,
166,Chris Brown,Fallin Down,,,,,,
167,Chris Brown,I'll Go,,,,,,
168,Chris Brown,Gotta Be Ur Man,,,,,,
169,Chris Brown,Movie,,,,,,
170,Chris Brown,For Ur Love,,,,,,
