,Artist,Track,0,1,2,3,4,5
103,David Guetta,Light My Body Up ,,,,,,
104,Nick Jonas,Bom Bidi Bom,Nicki Minaj,,,,,
105,Fetty Wap,Like A Star ,Nicki Minaj,,,,,
106,Meek Mill,Froze ,Lil Uzi Vert,Nicki Minaj,,,,
107,Mustard,Don't Hurt Me,Nicki Minaj,Jeremih,,,,
108,DJ Khaled,Do You Mind ,Nicki Minaj,Chris Brown,August Alsina,Jeremih,Future,Rick Ross
109,Ariana Grande,Side To Side,Nicki Minaj,,,,,
110,Bebe Rexha,No Broken Hearts ,Nicki Minaj,,,,,
111,Yo Gotti,Down In the DM ,Nicki Minaj,,,,,
112,Rico Bernasconi,Make a Miracle,Lotus,Nicki Minaj,Shiloh & Gravy,,,
113,DJ Khaled,All I Do Is Win,,,,,,
114,Gucci Mane,Mi Casa Su Casa ,Waka Flocka Flame,Shawty Lo,Nicki Minaj,Yo Gotti,,
115,Gucci Mane,Pussy N*gga ,Nicki Minaj,,,,,
116,Gucci Mane,Slumber Party ,Nicki Minaj,,,,,
117,Gucci Mane,Wanna Balla ,Soulja Boy,Nicki Minaj,,,,
118,Gucci Mane,Shopaholic ,Nicki Minaj,Bobby V.,,,,
119,Gucci Mane,Easy ,Nicki Minaj,,,,,
120,Gucci Mane,Kissing Girls ,Nicki Minaj,,,,,
121,Don Mega,She Likes Me,The LOX,Nicki Minaj,,,,
122,The Weeknd,The Hills,Nicki Minaj,,,,,
123,Robin Thicke,Back Together,Nicki Minaj,,,,,
124,Meek Mill,Bad for You ,Nicki Minaj,,,,,
125,Meek Mill,All Eyes on You ,Chris Brown,Nicki Minaj,,,,
126,Madonna,Bitch I'm Madonna,Nicki Minaj,,,,,
127,Maroon 5,Sugar,Nicki Minaj,,,,,
128,Rae Sremmurd,Throw Sum Mo,Nicki Minaj,Young Thug,,,,
129,Cam’ron,So Bad,Nicki Minaj,Yummy,,,,
130,Beyoncé,Flawless Remix ,Nicki Minaj,,,,,
131,David Guetta,Hey Mama ,Afrojack,Bebe Rexha,Nicki Minaj,,,
132,Chris Brown,Love More,Nicki Minaj,,,,,
133,Nicki Minaj,All Things Go,,,,,,
134,Nicki Minaj,I Lied,,,,,,
135,Nicki Minaj,The Crying Game,Jessie Ware,,,,,
136,Nicki Minaj,Get On Your Knees,Ariana Grande,,,,,
137,Nicki Minaj,Feeling Myself,Beyoncé,,,,,
138,Nicki Minaj,Only,Drake,Lil Wayne,Chris Brown,,,
139,Nicki Minaj,Want Some More,,,,,,
140,Nicki Minaj,Four Door Aventador,,,,,,
141,Nicki Minaj,Favorite,Jeremih,,,,,
142,Nicki Minaj,Buy A Heart,Meek Mill,,,,,
143,Nicki Minaj,Trini Dem Girls,LunchMoney Lewis,,,,,
144,Nicki Minaj,Anaconda,,,,,,
145,Nicki Minaj,The Night Is Still Young,,,,,,
146,Nicki Minaj,Pills N Potions,,,,,,
147,Nicki Minaj,Bed Of Lies,Skylar Grey,,,,,
148,Nicki Minaj,Grand Piano,,,,,,
149,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,,,,
150,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,Dada Life,,,
151,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,Kat Krazy,,,
152,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,3LAU,,,
153,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,Imanos,Gramercy,,
154,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,Superstylers,,,
155,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,,,,
156,Nicki Minaj,All Things Go,,,,,,
157,Nicki Minaj,I Lied,,,,,,
158,Nicki Minaj,The Crying Game,Jessie Ware,,,,,
159,Nicki Minaj,Get On Your Knees,Ariana Grande,,,,,
160,Nicki Minaj,Feeling Myself,Beyoncé,,,,,
