,Artist,Track,0,1,2,3,4,5,6
108,DJ Khaled,On Everything ,Travis Scott,Rick Ross,Big Sean,,,,
109,DJ Khaled,It's Secured ,Nas,Travis Scott,,,,,
110,DJ Khaled,Don't Quit ,Calvin Harris,Travis Scott,Jeremih,,,,
111,DJ Khaled,Down for Life ,PARTYNEXTDOOR,Future,Travis Scott,Rick Ross,Kodak Black,,
112,DJ Snake,Oh Me Oh My,Travis Scott,Migos,GASHI,Malaa,,,
113,Drake,Portland,Quavo,Travis Scott,,,,,
114,Philly Swain,She Loves Me,Travis Scott,,,,,,
115,Kid Cudi,Baptized In Fire,Travis Scott,,,,,,
116,Gucci Mane,Last Time ,Travis Scott,,,,,,
117,Juicy J,No English ,Travis Scott,,,,,,
118,Kanye West,Champions,Gucci Mane,Big Sean,2 Chainz,Travis Scott,Yo Gotti,Quavo,Desiigner
119,SZA,Power is Power,The Weeknd,Travis Scott,Game of Thrones,,,,
120,Tony Milo,Paper Rain,Travis Scott,,,,,,
121,2 Chainz,Whip ,Travis Scott,,,,,,
122,Future,First Off ,Travis Scott,,,,,,
123,James Blake,Mile High,Travis Scott,Metro Boomin,,,,,
124,21 Savage,out for the night,,,,,,,
125,Rihanna,Woo,,,,,,,
126,Metro Boomin,No More ,Travis Scott,Kodak Black,21 Savage,,,,
127,Metro Boomin,Only 1 (Interlude) ,Travis Scott,,,,,,
128,Metro Boomin,Dreamcatcher ,Swae Lee,Travis Scott,,,,,
129,Metro Boomin,Overdue ,Travis Scott,,,,,,
130,Lil Wayne,Let It Fly ,Travis Scott,,,,,,
131,Mustard,Dangerous World ,Travis Scott,YG,,,,,
132,Tim2Times,What She Want,Travis Scott,,,,,,
133,Hustle Gang,2 F*cks ,,,,,,,
134,Hustle Gang,Animal ,,,,,,,
135,Hustle Gang,Ya Dig,Shad Da God,T.I.,Spodee,Travis Scott,,,
136,Migos,White Sand,Travis Scott,Ty Dolla $ign,Big Sean,,,,
137,Farruko,Krippy Kush ,Nicki Minaj,Bad Bunny,Travis Scott,Rvssian,,,
138,Quality Control,Mediterranean,Offset,Travis Scott,,,,,
139,Big Sean,Go Legend ,Metro Boomin,Travis Scott,,,,,
140,CyHi The Prynce,I'm Fine ,Travis Scott,,,,,,
141,Meek Mill,Bandz,Travis Scott,,,,,,
142,21 Savage,Ghostface Killers,Offset,Metro Boomin,Travis Scott,,,,
143,Belly,Money Go,Travis Scott,,,,,,
144,Meek Mill,Im Leanin,Travis Scott,,,,,,
145,Miguel,waves ,Travis Scott,,,,,,
146,Diddy,Workin,Travis Scott,Big Sean,,,,,
147,Belly,White Girls,Travis Scott,,,,,,
148,Travis Scott,High Fashion,Future,,,,,,
149,Travis Scott,Nothing but Net,,,,,,,
150,Justin Bieber,No Sense,Travis Scott,,,,,,
151,Travis Scott,Bandz ,Meek Mill,,,,,,
152,Travis Scott,Dance On the Moon ,Paul Wall,Theophilus London,,,,,
153,Travis Scott,Bad Mood / Shit On You,,,,,,,
154,Travis Scott,12 Disciples,,,,,,,
155,Travis Scott,Interview,,,,,,,
156,Travis Scott,Momma Be Trippin,,,,,,,
157,Trinidad James,$hut Up!!!,Travis Scott,,,,,,
158,Smokepurpp,Fingers Blue ,Travis Scott,,,,,,
159,Migos,Sloppy Toppy,Peewee Longway,Travis,,,,,
160,Metro Boomin,Blue Pill,Travis Scott,,,,,,
161,Drake,Company,Travis Scott,,,,,,
162,John Legend,Sin City,Travis Scott,Teyana Taylor,CyHi The Prynce,Malik Yusef,,,
163,King Chip,Old English,Travis Scott,,,,,,
164,Big Sean,10 2 10,Rick Ross,Travis Scott,,,,,
165,Low Pros,100 Bottles,Travis Scott,,,,,,
166,Ty Dolla $ign,Familiar ,Travis Scott,Fredo Santana,,,,,
167,Hustle Gang,Brand New Choppa,Travis Scott,Young Dro,Yung Booke,T.I.,Meek Mill,,
168,Hudson Mohawke,Chimes (Rmx) ,Pusha T,Future,Travis Scott,French Montana,,,
169,Jay 305,Why You So Nasty? ,Travis Scott,,,,,,
170,DJ Khaled,Celebrate ,Travis Scott,Post Malone,,,,,
171,Maxo Kream,The Relays ,Travis Scott,,,,,,
