,Artist,Track,0,1,2,3,4,5,6,7,8
94,Terrace Martin,Give Me Some Of You,Kendrick Lamar,,,,,,,,
95,Terrace Martin,I Had No Idea,Kendrick Lamar,,,,,,,,
96,ZZ Ward,Cryin Wolf ,Kendrick Lamar,,,,,,,,
97,DJ Khaled,They Ready,J. Cole,Big K.R.I.T.,Kendrick Lamar,,,,,,
98,Birdman,B-Boyz,Mack Maine,Kendrick Lamar,Ace Hood,DJ Khaled,,,,,
99,Bigg Steele,Boomboxx,Kendrick Lamar,Chino XL,,,,,,,
100,Melo Kan,You Don't Like ,Kendrick Lamar,,,,,,,,
101,E-40,Catch A Fade,Kendrick Lamar,Droop-E,,,,,,,
102,Mac Miller,Fight the Feeling,Kendrick Lamar,Iman Omari,,,,,,,
103,Infamous DJ Haze,I'm Ghost,Kendrick Lamar,Nu Jerzey Devil,Tools,,,,,,
104,Ab-Soul,Illuminate ,Kendrick Lamar,,,,,,,,
105,Gunplay,Power Circle ,Stalley,Wale,Meek Mill,Kendrick Lamar,Rick Ross,,,,
106,Kendrick Lamar,Flower Child,Nitty Scott,,,,,,,,
107,B.o.B,I'm On 2.0,Bun B,Gudda Gudda,J. Cole,Kendrick Lamar,Mark Morrison,Tyga,Big K.R.I.T.,Jadakiss,Trae Tha Truth
108,Wale,A1 Everything,Meek Mill,Kendrick Lamar,,,,,,,
109,DJ Drama,My Way ,Common,Lloyd,Kendrick Lamar,,,,,,
110,Skeme,I Remember ,Bryan Roberts,Kendrick Lamar,,,,,,,
111,Pac Div,Cross-Trainers ,Kendrick Lamar,Blu,,,,,,,
112,Kendrick Lamar,I Do This,Jay Rock,,,,,,,,
113,The Game,See No Evil,Kendrick Lamar,Tank,,,,,,,
114,A$AP Rocky,F**kin' Problems ,Drake,2 Chainz,Kendrick Lamar,,,,,,
115,A$AP Rocky,1Train ,Kendrick Lamar,Joey Bada$$,Yelawolf,Danny Brown,Action Bronson,Big K.R.I.T.,,,
116,Kendrick Lamar,War Is My Love,,,,,,,,,
117,Mayer Hawthorne,Crime,Kendrick Lamar,,,,,,,,
118,50 Cent,We Up,Kendrick Lamar,,,,,,,,
119,The Lonely Island,YOLO,Adam Levine,Kendrick Lamar,,,,,,,
120,Bridget Kelly,Street Dreamin,Kendrick Lamar,,,,,,,,
121,Jhené Aiko,Stay Ready (What A Life),Kendrick Lamar,,,,,,,,
122,Rich Gang,100 Favors,Detail,Birdman,Kendrick Lamar,,,,,,
123,Kid Cudi,Solo Dolo Part II,Kendrick Lamar,,,,,,,,
124,Robin Thicke,Give It 2 U,Kendrick Lamar,,,,,,,,
125,Jay Rock,Black People ,Kendrick Lamar,,,,,,,,
126,Big Sean,100,"Royce Da 5'9""",Kendrick Lamar,,,,,,,
127,Dido,Let Us Move On ,Kendrick Lamar,,,,,,,,
128,Miguel,How Many Drinks? ,Kendrick Lamar,,,,,,,,
129,Talib Kweli,Push Thru,Curren$y,Kendrick Lamar,Glen Reynolds,,,,,,
130,Snoop Dogg,The Recipe,Kendrick Lamar,,,,,,,,
131,Quadron,Better Off ,Kendrick Lamar,,,,,,,,
132,J. Cole,Forbidden Fruit ,Kendrick Lamar,,,,,,,,
133,Kendrick Lamar,Cartoon,,,,,,,,,
134,Droop-E,Rossi Wine,Kendrick Lamar,,,,,,,,
135,ScHoolboy Q,U.O.E.N.O,Kendrick Lamar,Ab-Soul,Jay Rock,,,,,,
136,ScHoolboy Q,Shadow of Death,Kendrick Lamar,Ab-Soul,Jay Rock,,,,,,
137,ScHoolboy Q,Swimming Pools,Kendrick Lamar,Ab-Soul,Jay Rock,,,,,,
138,ScHoolboy Q,The Recipe,Kendrick Lamar,Ab-Soul,Jay Rock,,,,,,
139,Tech N9ne,Fragile,Kendrick Lamar,Mayday,Kendall Morgan,,,,,,
140,Jeezy,R.I.P,Chris Brown,YG,Kendrick Lamar,,,,,,
141,Wiz Khalifa,Do It Again,Terrace Martin,Kendrick Lamar,,,,,,,
142,T.I.,Memories Back Then ,B.o.B,Kendrick Lamar,Kris Stephens,,,,,,
